price,predicted_qty,revenue,profit,profit_lower_ci,profit_upper_ci,product_id
50.08828767123287,18.661863187448137,934.740771814093,-184.97101943279517,-134.28460750492636,-254.53425196168752,A
50.81816903078195,18.330959387051866,931.5457926276008,-168.31177059551112,-122.0412271264315,-231.88924346447257,A
51.54805039033104,18.010486899668074,928.4054862584869,-152.22372772159744,-110.24302125384186,-209.973673177833,A
52.277931749880125,17.699976074952982,925.318141220903,-136.68042327627583,-98.86866847892817,-188.75488248866586,A
53.007813109429215,17.39898457333944,922.282122557419,-121.65695184294736,-87.89813532533299,-168.2020949775903,A
53.7376944689783,17.107095429066057,919.2958674188069,-107.12985832515645,-77.31258241622048,-148.28628413795224,A
54.46757582852738,16.823915274659516,916.3578809552372,-93.07703552433372,-67.09427862543811,-128.98005202702348,A
55.19745718807647,16.549072711458724,913.4667324931075,-79.47763019441594,-57.226522437447876,-110.25751781404155,A
55.92733854762555,16.28221681242175,910.6210519741519,-66.31195677115322,-47.693569825516796,-92.09421529996095,A
56.657219907174635,16.023015744913508,907.8195266356862,-53.56141805912426,-38.48056803176611,-74.46699858102687,A
57.387101266723725,15.771155502457338,905.0608979127663,-41.20843223467393,-29.573494698009913,-57.35395511419605,A
58.11698262627281,15.526338735571612,902.3439585448418,-29.236365589454827,-20.959101853981647,-40.734325518461326,A
58.8468639858219,15.288283672818157,899.6675498709917,-17.629470498097685,-12.624864320549051,-24.58842951353191,A
59.57674534537098,15.056723124083932,897.030559299307,-6.372828145728915,-4.558932130694914,-8.897597457167747,A
60.30662670492006,14.831403558910083,894.4319179372133,4.547704402608298,3.2499133888899943,6.355893004337967,A
61.03650806446915,14.612084253389133,891.8705983706885,15.145543167340561,10.812300197148431,21.18887561064521,A
61.766389424018236,14.398536499780214,889.3456125813651,25.43342259455232,18.13830306880304,35.61734988269181,A
62.496270783567326,14.190542873553872,886.8560099914444,35.42343757821205,25.237478336952506,49.65653159699257,A
63.22615214311641,13.987896553079443,884.4008756271744,45.12708244240787,32.11889608457348,63.32089966329989,A
63.95603350266549,13.79040068761736,881.9793283924371,54.5552871353955,38.79116999888466,76.62423969980244,A
64.68591486221457,13.597867809680885,879.5905194446659,63.71845086381279,45.26248508239171,89.57968457293809,A
65.41579622176367,13.410119288192591,877.233630665949,72.62647337439357,51.540623396396654,102.1997521445758,A
66.14567758131275,13.226984819185281,874.907873222748,81.28878407163111,57.63298799657427,114.49638044745129,A
66.87555894086184,13.048301951088398,872.6124862081747,89.71436914287078,63.54662520568856,126.48096049006506,A
67.60544030041092,12.87391564190395,870.3467353612639,97.9117968470268,69.28824535545195,138.16436687451036,A
68.33532165996002,12.703677845812027,868.1099118580728,105.88924110935119,74.86424211776995,149.5569863947047,A
69.06520301950908,12.537447126960613,865.9013311698956,113.65450355225884,80.28071053500732,160.66874476804654,A
69.79508437905818,12.37508829838615,863.7203319841568,121.21503408098786,85.54346384934814,171.50913164045477,A
70.52496573860726,12.21647208418741,861.5662751839692,128.57795013272457,90.65804922267083,182.08722399291207,A
71.25484709815635,12.061474803232034,859.438542882564,135.75005468864197,95.6297624305551,192.4117080669352,A
71.98472845770543,11.909978072819479,857.3365375091361,142.73785313996729,100.46366160694714,202.49089991665085,A
72.71460981725451,11.761868530853633,855.2596809428665,149.5475690916485,105.16458010960925,212.33276468634827,A
73.44449117680361,11.617037575196605,853.207413692123,156.18515918032674,109.73713857065194,221.94493470433932,A
74.17437253635269,11.47538111898302,851.1791941160743,162.65632697709313,114.18575619117198,231.3347264766721,A
74.90425389590177,11.336799360771359,849.1744976861148,168.96653603983327,118.51466133421103,240.50915665758419,A
75.63413525545086,11.201196568498503,847.1928162847078,175.12102217479762,122.72790146588521,249.4749570675233,A
76.36401661499994,11.068480876284745,845.2336575394174,181.12480496233266,126.82935249055467,258.2385888240423,A
77.09389797454904,10.938564093210358,843.2965441900249,186.98269859740336,130.82272752227408,266.8062556458107,A
77.82377933409812,10.811361523253078,841.3810134868064,192.69932209162178,134.7115851314583,275.1839163853812,A
78.5536606936472,10.686791795637589,839.4866166181679,198.27910887991254,138.49933710267607,283.3772968421268,A
79.28354205319629,10.564776704904418,837.6129181659179,203.72631587165282,142.18925573671717,291.39190090288184,A
80.01342341274537,10.445241060058281,835.7594955866365,209.04503198313967,145.78448072756004,299.2330210543029,A
80.74330477229447,10.328112542202886,833.9259387176446,214.23918618547145,149.28802564254778,306.90574830769145,A
81.47318613184355,10.213321570113061,832.111849306194,219.31255509941036,152.7027840319622,314.4149815740519,A
82.20306749139263,10.100801173235485,830.3168405606144,224.26877016648535,156.03153519224745,321.76543652441615,A
82.93294885094173,9.990486871645341,828.540536722168,229.11132442344746,159.27694960534032,328.9616539679375,A
83.6628302104908,9.882316562521147,826.7825726565278,233.84357890525897,162.44159407494166,336.0080077779599,A
84.39271157003989,9.776230412730051,825.0425934637792,238.46876869997618,165.5279365790399,342.90871239410563,A
85.12259292958898,9.672170757145622,823.3202541059812,242.99000867724385,168.53835085662848,349.66782992648757,A
85.85247428913806,9.570082002345801,821.6152190513358,247.4102989105877,171.4751207452765,356.28927688631956,A
86.58235564868716,9.46991053536362,819.9271619341024,251.73252981228515,174.34044428503722,362.77683056553406,A
87.31223700823622,9.371604637185454,818.2557652294221,255.95948699829478,177.13643760309685,369.1341350864676,A
88.04211836778532,9.275114400712622,816.6007199422909,260.0938558995336,179.86513859257596,375.3647071412561,A
88.7719997273344,9.180391652921298,814.9617253099525,264.1382261346746,182.52851039795766,381.4719414392459,A
